feature,feature_name,factor_group,coefficient,target,score_col,neutralization
reversal_1,1日反转,反转与趋势,-0.013224869197344606,next_5d_return,barra_ridge_next_5d_return,industry+style
momentum_120,120日动量,反转与趋势,-0.01460700905522258,next_5d_return,barra_ridge_next_5d_return,industry+style
neg_amihud_20,低冲击成本,流动性与拥挤,-0.015245317248651274,next_5d_return,barra_ridge_next_5d_return,industry+style
growth_profit_yoy,利润成长,现金流与成长,-0.017297771545365978,next_5d_return,barra_ridge_next_5d_return,industry+style
quality_roa,ROA质量,估值与质量,-0.017312181207207778,next_5d_return,barra_ridge_next_5d_return,industry+style
neg_volatility_20,低波动,波动与防御,-0.019081649158060404,next_5d_return,barra_ridge_next_5d_return,industry+style
boll_pos_20,布林带位置,价格位置,-0.02155016437923162,next_5d_return,barra_ridge_next_5d_return,industry+style
bias_20,20日乖离率,价格位置,-0.022937477953894662,next_5d_return,barra_ridge_next_5d_return,industry+style
breakout_20,20日突破强度,价格位置,-0.02758747714789452,next_5d_return,barra_ridge_next_5d_return,industry+style
bias_60,60日乖离率,价格位置,-0.06810514271447503,next_5d_return,barra_ridge_next_5d_return,industry+style
amount_5_20,短期成交额放大,流动性与拥挤,-0.15883827757170388,next_5d_return,barra_ridge_next_5d_return,industry+style
turnover_5_20,短期换手放大,流动性与拥挤,0.18162404516709713,next_20d_return,barra_ridge_next_20d_return,industry+style
neg_log_total_mv,小市值暴露,规模与风险补偿,0.07051771984882962,next_20d_return,barra_ridge_next_20d_return,industry+style
ma20_ma60,均线斜率20/60,价格位置,0.06376458414261203,next_20d_return,barra_ridge_next_20d_return,industry+style
neg_turnover_20d_avg,低换手,流动性与拥挤,0.05020047009249291,next_20d_return,barra_ridge_next_20d_return,industry+style
rsi_14,RSI14,价格位置,0.03741702652718126,next_20d_return,barra_ridge_next_20d_return,industry+style
cashflow_ocfps,经营现金流,现金流与成长,0.035247278159467946,next_20d_return,barra_ridge_next_20d_return,industry+style
low_leverage,低杠杆,资本结构,0.03332746476710373,next_20d_return,barra_ridge_next_20d_return,industry+style
bp,估值-BP,估值与质量,0.031249245104697922,next_20d_return,barra_ridge_next_20d_return,industry+style
ma5_ma20,均线斜率5/20,价格位置,0.026698722021761177,next_20d_return,barra_ridge_next_20d_return,industry+style
dividend_yield,股息率,估值与质量,0.0236374497868895,next_20d_return,barra_ridge_next_20d_return,industry+style
boll_pos_20,布林带位置,价格位置,0.023073828577744544,next_20d_return,barra_ridge_next_20d_return,industry+style
growth_sales_yoy,收入成长,现金流与成长,0.017436705374558686,next_20d_return,barra_ridge_next_20d_return,industry+style
neg_atr_14_pct,低ATR波动,波动与防御,0.015394059822920683,next_20d_return,barra_ridge_next_20d_return,industry+style
quality_roe,ROE质量,估值与质量,0.012342359619395067,next_20d_return,barra_ridge_next_20d_return,industry+style
ep_ttm,估值-EP(TTM),估值与质量,0.01145160023461145,next_20d_return,barra_ridge_next_20d_return,industry+style
reversal_5,短期反转,反转与趋势,0.010224312340010607,next_20d_return,barra_ridge_next_20d_return,industry+style
reversal_20,20日反转,反转与趋势,0.008132663396731014,next_20d_return,barra_ridge_next_20d_return,industry+style
neg_volatility_20,低波动,波动与防御,0.0038509964216581105,next_20d_return,barra_ridge_next_20d_return,industry+style
reversal_1,1日反转,反转与趋势,-0.006785516683900673,next_20d_return,barra_ridge_next_20d_return,industry+style
growth_profit_yoy,利润成长,现金流与成长,-0.007170724392716945,next_20d_return,barra_ridge_next_20d_return,industry+style
relative_ret_20,相对沪深300强度20日,相对强弱,-0.008132663396622867,next_20d_return,barra_ridge_next_20d_return,industry+style
momentum_20,20日动量,反转与趋势,-0.008132663396979427,next_20d_return,barra_ridge_next_20d_return,industry+style
neg_volatility_60,60日低波动,波动与防御,-0.0084955574240309,next_20d_return,barra_ridge_next_20d_return,industry+style
range_position_20,20日价格区间位置,价格位置,-0.012913780922820747,next_20d_return,barra_ridge_next_20d_return,industry+style
momentum_120_20,中长期动量剔除近端,反转与趋势,-0.019021941965053683,next_20d_return,barra_ridge_next_20d_return,industry+style
quality_roa,ROA质量,估值与质量,-0.01920030598538366,next_20d_return,barra_ridge_next_20d_return,industry+style
momentum_120,120日动量,反转与趋势,-0.01984185464599864,next_20d_return,barra_ridge_next_20d_return,industry+style
relative_ret_60,相对沪深300强度60日,相对强弱,-0.02371381089777979,next_20d_return,barra_ridge_next_20d_return,industry+style
momentum_60,中期动量,反转与趋势,-0.023713810897845664,next_20d_return,barra_ridge_next_20d_return,industry+style
bias_60,60日乖离率,价格位置,-0.026103621980847074,next_20d_return,barra_ridge_next_20d_return,industry+style
breakout_20,20日突破强度,价格位置,-0.02940818657201603,next_20d_return,barra_ridge_next_20d_return,industry+style
bias_20,20日乖离率,价格位置,-0.030262909985391755,next_20d_return,barra_ridge_next_20d_return,industry+style
neg_amihud_20,低冲击成本,流动性与拥挤,-0.03226330771656271,next_20d_return,barra_ridge_next_20d_return,industry+style
amount_5_20,短期成交额放大,流动性与拥挤,-0.19578890577856703,next_20d_return,barra_ridge_next_20d_return,industry+style
